,spread_3m10y,spread_2y10y,cpi_yoy,core_cpi_yoy,pce,unemployment,gdp_yoy,breakeven_5y,recession_prob,y_3m,y_5y,y_10y,y_30y
2023-09-01,-0.96,-0.44,307.276,310.539,121.419,3.7,,2.22,0.5,5.300000190734863,4.605999946594238,4.572999954223633,4.710999965667725
2023-10-01,-0.71,-0.19,307.696,311.457,121.484,3.9,3.4,2.4,0.64,5.320000171661377,4.815999984741211,4.875,5.021999835968018
2023-11-01,-1.08,-0.36,308.148,312.392,121.493,3.7,,2.15,0.6,5.23799991607666,4.297999858856201,4.3520002365112305,4.513000011444092
2023-12-01,-1.52,-0.35,308.741,313.195,121.66,3.8,,2.12,1.06,5.179999828338623,3.8399999141693115,3.865999937057495,4.019000053405762
2024-01-01,-1.43,-0.28,309.698,314.319,122.23,3.7,0.8,2.24,3.06,5.188000202178955,3.881999969482422,3.9670000076293945,4.215000152587891
2024-02-01,-1.2,-0.39,310.967,315.564,122.598,3.9,,2.4,0.54,5.2230000495910645,4.26200008392334,4.251999855041504,4.375
2024-03-01,-1.26,-0.39,312.345,316.792,123.038,3.9,,2.38,0.58,5.203000068664551,4.21999979019165,4.205999851226807,4.348999977111816
2024-04-01,-0.77,-0.35,313.023,317.649,123.341,3.9,3.6,2.43,0.64,5.244999885559082,4.7230000495910645,4.685999870300293,4.789999961853027
2024-05-01,-0.95,-0.38,313.175,318.095,123.348,3.9,,2.34,0.38,5.23799991607666,4.566999912261963,4.571000099182129,4.7179999351501465
2024-06-01,-1.12,-0.35,313.044,318.39,123.539,4.1,,2.24,0.72,,,,
2024-07-01,-1.32,-0.2,313.569,318.94,123.736,4.2,3.3,2.13,0.92,,,,
2024-08-01,-1.3,0.0,314.062,319.75,123.889,4.2,,2.01,0.62,,,,
2024-09-01,-0.92,0.15,314.732,320.732,124.164,4.1,,2.07,0.78,,,,
2024-10-01,-0.36,0.12,315.631,321.731,124.494,4.1,1.9,2.38,0.8,,,,
2024-11-01,-0.4,0.05,316.528,322.657,124.637,4.2,,2.33,0.52,,,,
2024-12-01,0.21,0.33,317.604,323.259,124.979,4.1,,2.38,0.34,,,,
2025-01-01,0.27,0.36,318.961,324.638,125.417,4.0,-0.6,2.54,0.56,,,,
2025-02-01,-0.08,0.25,319.679,325.465,125.921,4.2,,2.58,0.32,,,,
2025-03-01,-0.09,0.34,319.785,325.69,125.941,4.2,,2.61,0.4,,,,
2025-04-01,-0.14,0.57,320.302,326.467,126.15,4.2,3.8,2.29,0.58,,,,
2025-05-01,0.05,0.52,320.62,326.893,126.38,4.3,,2.39,0.82,,,,
2025-06-01,-0.17,0.52,321.435,327.658,126.743,4.1,,2.31,0.54,,,,
2025-07-01,-0.04,0.43,322.169,328.682,126.96,4.3,4.4,2.46,0.52,,,,
2025-08-01,0.0,0.64,323.291,329.7,127.293,4.3,,2.47,0.88,,,,
2025-09-01,0.14,0.56,324.245,330.418,127.625,4.4,,2.42,0.82,,,,
2025-10-01,0.22,0.51,,,127.873,,0.7,2.4,0.86,,,,
2025-11-01,0.14,0.55,325.063,331.043,128.155,4.5,,2.29,0.62,,,,
2025-12-01,0.51,0.71,326.031,331.814,128.615,4.4,,2.26,0.8,,,,
2026-01-01,0.59,0.74,326.588,332.793,128.969,4.3,,2.53,,,,,
2026-02-01,0.3,0.59,327.46,333.512,,4.4,,2.4,,,,,
2026-03-01,0.71,0.56,,,,,,2.56,,3.6069998741149902,4.070000171661377,4.440000057220459,4.98199987411499
