,spread_3m10y,spread_2y10y,cpi_yoy,core_cpi_yoy,pce,unemployment,gdp_yoy,breakeven_5y,recession_prob,y_3m,y_5y,y_10y,y_30y,unemp_delta,spread_3m10y_lag1,spread_3m10y_lag3,spread_2y10y_lag1,spread_2y10y_lag3,cpi_yoy_lag1,cpi_yoy_lag3,core_cpi_yoy_lag1,core_cpi_yoy_lag3,breakeven_5y_lag1,breakeven_5y_lag3,gdp_yoy_lag1,gdp_yoy_lag3,breakeven_gap,inversion_flag,inversion_duration,regime
1992-05-01,3.54,2.14,3.0235988200590036,3.8924274593064467,2.625596726528756,7.6,,,0.46,,,,,0.1999999999999993,3.82,3.24,2.15,2.0,3.1828275351591495,2.8189910979228294,3.8325053229240735,3.708987161198296,,,4.4,,,0,0,Stagflation
1992-06-01,3.49,2.31,3.0147058823529305,3.7376586741889817,2.6341384341060037,7.8,,,0.42,,,,,0.39999999999999947,3.54,3.39,2.14,1.94,3.0235988200590036,3.189910979228472,3.8924274593064467,3.843416370106767,,,,,,0,0,Stagflation
1992-07-01,3.47,2.3,3.1571218795888534,3.7245256500351154,2.8112709793322255,7.7,4.0,,0.38,,,,,0.2999999999999998,3.49,3.82,2.31,2.15,3.0147058823529305,3.1828275351591495,3.7376586741889817,3.8325053229240735,,,,4.4,,0,0,Reflation
1992-08-01,3.39,2.47,3.0746705710102518,3.4989503149055246,2.709466987453779,7.6,,,0.88,,,,,0.0,3.47,3.54,2.3,2.14,3.1571218795888534,3.0235988200590036,3.7245256500351154,3.8924274593064467,,,4.0,,,0,0,Stagflation
1992-09-01,3.62,2.57,2.9927007299270114,3.2775453277545274,2.524781153450051,7.6,,,0.56,,,,,-0.20000000000000018,3.39,3.49,2.47,2.31,3.0746705710102518,3.0147058823529305,3.4989503149055246,3.7376586741889817,,,,,,0,0,Stagflation
1992-10-01,3.77,2.4,3.279883381924198,3.549060542797511,2.6951493735946075,7.3,4.2,,0.46,,,,,-0.40000000000000036,3.62,3.47,2.57,2.3,2.9927007299270114,3.1571218795888534,3.2775453277545274,3.7245256500351154,,,,4.0,,0,0,Reflation
1992-11-01,3.57,2.16,3.1204644412191396,3.4674063800277377,2.671602801416717,7.4,,,0.34,,,,,-0.1999999999999993,3.77,3.39,2.4,2.47,3.279883381924198,3.0746705710102518,3.549060542797511,3.4989503149055246,,,4.2,,,0,0,Stagflation
1992-12-01,3.55,2.14,2.966714905933454,3.386316516931598,2.5945997793870967,7.4,,,0.28,,,,,-0.1999999999999993,3.57,3.62,2.16,2.57,3.1204644412191396,2.9927007299270114,3.4674063800277377,3.2775453277545274,,,,,,0,0,Stagflation
1993-01-01,3.43,2.19,3.2537960954446943,3.4458993797381154,2.704428621603494,7.3,0.7,,0.34,,,,,0.0,3.55,3.77,2.14,2.4,2.966714905933454,3.279883381924198,3.386316516931598,3.549060542797511,,,,4.2,,0,0,Reflation
1993-02-01,3.02,2.11,3.2467532467532534,3.576341127922955,2.598850263547625,7.1,,,0.42,,,,,-0.3000000000000007,3.43,3.57,2.19,2.16,3.2537960954446943,3.1204644412191396,3.4458993797381154,3.4674063800277377,,,0.7,,,0,0,Stagflation
1993-03-01,3.08,2.07,3.0194104960460155,3.358464701850594,2.560803189883898,7.0,,,0.82,,,,,-0.40000000000000036,3.02,3.55,2.11,2.14,3.2467532467532534,2.966714905933454,3.576341127922955,3.386316516931598,,,,,,0,0,Stagflation
1993-04-01,3.08,2.22,3.1563845050215145,3.4859876965140035,2.557074731855713,7.1,2.3,,0.26,,,,,-0.20000000000000018,3.08,3.43,2.07,2.19,3.0194104960460155,3.2537960954446943,3.358464701850594,3.4458993797381154,,,,0.7,,0,0,Reflation
1993-05-01,3.03,1.92,3.2211882605583497,3.4059945504087086,2.7372118412100743,7.1,,,0.38,,,,,0.0,3.08,3.02,2.22,2.11,3.1563845050215145,3.2467532467532534,3.4859876965140035,3.576341127922955,,,2.3,,,0,0,Stagflation
1993-06-01,2.7,1.77,2.9978586723768963,3.3990482664853827,2.5902234857458684,7.0,,,0.32,,,,,0.0,3.03,3.08,1.92,2.07,3.2211882605583497,3.0194104960460155,3.4059945504087086,3.358464701850594,,,,,,0,0,Stagflation
1993-07-01,2.73,1.7,2.8469750889679624,3.1842818428184483,2.416409545998355,6.9,1.9,,0.24,,,,,-0.1999999999999993,2.7,3.08,1.77,2.22,2.9978586723768963,3.1563845050215145,3.3990482664853827,3.4859876965140035,,,,2.3,,0,0,Reflation
1993-08-01,2.37,1.57,2.840909090909083,3.313049357674114,2.4540552437548158,6.8,,,0.28,,,,,-0.2999999999999998,2.73,3.03,1.7,1.92,2.8469750889679624,3.2211882605583497,3.1842818428184483,3.4059945504087086,,,1.9,,,0,0,Stagflation
