,spread_3m10y,spread_2y10y,cpi_yoy,core_cpi_yoy,pce,unemployment,gdp_yoy,breakeven_5y,recession_prob,y_3m,y_5y,y_10y,y_30y,unemp_delta,spread_3m10y_lag1,spread_3m10y_lag3,spread_2y10y_lag1,spread_2y10y_lag3,cpi_yoy_lag1,cpi_yoy_lag3,core_cpi_yoy_lag1,core_cpi_yoy_lag3,breakeven_5y_lag1,breakeven_5y_lag3,gdp_yoy_lag1,gdp_yoy_lag3,breakeven_gap,inversion_flag,inversion_duration,regime
1998-03-01,0.51,0.07,1.3767209011263937,2.25653206650831,0.6906372374510417,4.7,,,0.16,,,,,0.0,0.3,0.39,0.07,0.09,1.440200375704448,1.6970458830924073,2.2605591909577782,2.270011947431283,,,,,,0,0,Deflation
1998-04-01,0.68,0.09,1.4383989993745905,2.131438721136769,0.7169886476797505,4.3,3.8,,0.14,,,,,-0.2999999999999998,0.51,0.34,0.07,0.21,1.3767209011263937,1.6311166875784044,2.25653206650831,2.264600715137055,,,,4.1,,0,0,Goldilocks
1998-05-01,0.53,0.03,1.6885553470919357,2.1867612293144267,0.9009137229227582,4.4,,,0.14,,,,,-0.1999999999999993,0.68,0.3,0.09,0.07,1.4383989993745905,1.440200375704448,2.131438721136769,2.2605591909577782,,,3.8,,,0,0,Deflation
1998-06-01,0.34,-0.05,1.6229712858926382,2.2432113341204207,0.6865476461223485,4.5,,,0.7,,,,,-0.20000000000000018,0.53,0.51,0.03,0.07,1.6885553470919357,1.3767209011263937,2.1867612293144267,2.25653206650831,,,,,,0,0,Deflation
1998-07-01,0.4,0.01,1.74563591022443,2.2392457277548683,0.8750745802199145,4.5,5.1,,0.44,,,,,0.20000000000000018,0.34,0.68,-0.05,0.09,1.6229712858926382,1.4383989993745905,2.2432113341204207,2.131438721136769,,,,3.8,,0,0,Goldilocks
1998-08-01,0.09,0.14,1.6169154228855787,2.473498233215543,0.9339957416607536,4.5,,,0.2,,,,,0.09999999999999964,0.4,0.53,0.01,0.03,1.74563591022443,1.6885553470919357,2.2392457277548683,2.1867612293144267,,,5.1,,,0,0,Deflation
1998-09-01,0.07,0.14,1.4267990074441794,2.3501762632197387,0.6329651656754365,4.6,,,0.22,,,,,0.09999999999999964,0.09,0.34,0.14,-0.05,1.6169154228855787,1.6229712858926382,2.473498233215543,2.2432113341204207,,,,,,0,0,Deflation
1998-10-01,0.31,0.52,1.4860681114551078,2.2274325908558046,0.7226496209978395,4.5,6.6,,0.14,,,,,0.0,0.07,0.4,0.14,0.01,1.4267990074441794,1.74563591022443,2.3501762632197387,2.2392457277548683,,,,5.1,,0,0,Goldilocks
1998-11-01,0.17,0.2,1.4842300556586308,2.3419203747072626,0.7211946377057687,4.4,,,0.2,,,,,-0.09999999999999964,0.31,0.09,0.52,0.14,1.4860681114551078,1.6169154228855787,2.2274325908558046,2.473498233215543,,,6.6,,,0,0,Deflation
1998-12-01,0.17,0.11,1.606922126081578,2.453271028037385,0.8444010692918225,4.4,,,0.14,,,,,-0.1999999999999993,0.17,0.07,0.2,0.14,1.4842300556586308,1.4267990074441794,2.3419203747072626,2.3501762632197387,,,,,,0,0,Deflation
1999-01-01,0.18,0.08,1.6666666666666607,2.331002331002341,0.9358742365980444,4.3,3.8,,0.18,,,,,-0.20000000000000018,0.17,0.31,0.11,0.52,1.606922126081578,1.4860681114551078,2.453271028037385,2.2274325908558046,,,,6.6,,0,0,Goldilocks
1999-02-01,0.63,0.16,1.6666666666666607,2.1524141942990127,0.932120680631976,4.4,,,0.14,,,,,0.0,0.18,0.17,0.08,0.2,1.6666666666666607,1.4842300556586308,2.331002331002341,2.3419203747072626,,,3.8,,,0,0,Deflation
1999-03-01,0.76,0.26,1.7283950617283939,2.0325203252032464,0.9927874416631566,4.2,,,0.3,,,,,-0.20000000000000018,0.63,0.17,0.16,0.11,1.6666666666666607,1.606922126081578,2.1524141942990127,2.453271028037385,,,,,,0,0,Deflation
1999-04-01,0.81,0.28,2.281134401972884,2.2028985507246412,1.3545580383626632,4.3,3.4,,0.24,,,,,0.0,0.76,0.18,0.26,0.08,1.7283950617283939,1.6666666666666607,2.0325203252032464,2.331002331002341,,,,3.8,,0,0,Goldilocks
1999-05-01,0.98,0.22,2.091020910209096,2.0821283979178595,1.2821778686790353,4.2,,,0.18,,,,,-0.20000000000000018,0.81,0.63,0.28,0.16,2.281134401972884,1.6666666666666607,2.2028985507246412,2.1524141942990127,,,3.4,,,0,0,Deflation
1999-06-01,1.03,0.28,1.9656019656019597,1.9630484988452768,1.3990259052728105,4.3,,,0.18,,,,,0.09999999999999964,0.98,0.76,0.22,0.26,2.091020910209096,1.7283950617283939,2.0821283979178595,2.0325203252032464,,,,,,0,0,Deflation
1999-07-01,1.17,0.29,2.1446078431372584,2.074927953890482,1.4181101253344375,4.3,5.4,,0.2,,,,,0.0,1.03,0.81,0.28,0.28,1.9656019656019597,2.281134401972884,1.9630484988452768,2.2028985507246412,,,,3.4,,0,0,Goldilocks
1999-08-01,1.0,0.25,2.2643818849449104,1.8965517241379404,1.4625639871744367,4.2,,,0.24,,,,,0.0,1.17,0.98,0.29,0.22,2.1446078431372584,2.091020910209096,2.074927953890482,2.0821283979178595,,,5.4,,,0,0,Deflation
1999-09-01,1.02,0.27,2.629969418960254,2.066590126291623,1.885544626901381,4.2,,,0.34,,,,,-0.09999999999999964,1.0,1.03,0.25,0.28,2.2643818849449104,1.9656019656019597,1.8965517241379404,1.9630484988452768,,,,,,0,0,Stagflation
1999-10-01,0.9,0.23,2.56253813300793,2.1215596330275144,1.8336773233365689,4.1,6.7,,0.22,,,,,-0.20000000000000018,1.02,1.17,0.27,0.29,2.629969418960254,2.1446078431372584,2.066590126291623,2.074927953890482,,,,5.4,,0,0,Reflation
1999-11-01,0.88,0.17,2.6203534430225606,2.0594965675057253,1.920646954763705,4.1,,,0.28,,,,,-0.10000000000000053,0.9,1.0,0.23,0.25,2.56253813300793,2.2643818849449104,2.1215596330275144,1.8965517241379404,,,6.7,,,0,0,Stagflation
1999-12-01,1.12,0.21,2.676399026763998,1.8814139110604255,2.0547560941400977,4.0,,,0.28,,,,,-0.20000000000000018,0.88,1.02,0.17,0.27,2.6203534430225606,2.629969418960254,2.0594965675057253,2.066590126291623,,,,,,0,0,Stagflation
2000-01-01,0.92,0.07,2.792956891317555,2.1070615034168627,2.1891369506148672,4.0,1.5,,0.48,,,,,-0.09999999999999964,1.12,0.9,0.21,0.23,2.676399026763998,2.56253813300793,1.8814139110604255,2.1215596330275144,,,,6.7,,0,0,Reflation
2000-02-01,0.64,-0.11,3.2179720704310855,2.1640091116173155,2.5687379130580945,4.1,,,0.62,,,,,0.0,0.92,0.88,0.07,0.17,2.792956891317555,2.6203534430225606,2.1070615034168627,2.0594965675057253,,,1.5,,,0,0,Stagflation
2000-03-01,0.15,-0.47,3.762135922330101,2.4473534433693933,2.930879964151667,4.0,,,0.42,,,,,0.0,0.64,1.12,-0.11,0.21,3.2179720704310855,2.676399026763998,2.1640091116173155,1.8814139110604255,,,,,,0,0,Stagflation
2000-04-01,0.41,-0.45,3.013863773357439,2.2688598979013097,2.3509901473026895,3.8,7.5,,0.54,,,,,-0.20000000000000018,0.15,0.92,-0.47,0.07,3.762135922330101,2.792956891317555,2.4473534433693933,2.1070615034168627,,,,1.5,,0,0,Reflation
2000-05-01,0.66,-0.4,3.1325301204819134,2.3796033994334165,2.368948805080495,4.0,,,0.7,,,,,-0.09999999999999964,0.41,0.64,-0.45,-0.11,3.013863773357439,3.2179720704310855,2.2688598979013097,2.1640091116173155,,,7.5,,,0,0,Stagflation
2000-06-01,0.15,-0.35,3.7349397590361377,2.5481313703284325,2.684264750925869,4.0,,,1.1,,,,,0.0,0.66,0.15,-0.4,-0.47,3.1325301204819134,3.762135922330101,2.3796033994334165,2.4473534433693933,,,,,,0,0,Stagflation
2000-07-01,-0.23,-0.26,3.5992801439711952,2.4844720496894457,2.668814307732892,4.0,0.4,,1.42,,,,,0.20000000000000018,0.15,0.41,-0.35,-0.45,3.7349397590361377,3.013863773357439,2.5481313703284325,2.2688598979013097,,,,7.5,,1,1,Reflation
2000-08-01,-0.58,-0.45,3.3512866546977715,2.5944726452340694,2.475467095414974,4.1,,,1.56,,,,,0.09999999999999964,-0.23,0.66,-0.26,-0.4,3.5992801439711952,3.1325301204819134,2.4844720496894457,2.3796033994334165,,,0.4,,,1,2,Stagflation
2000-09-01,-0.43,-0.18,3.45649582836709,2.53093363329584,2.5480961785462775,3.9,,,1.8,,,,,-0.10000000000000009,-0.58,0.15,-0.45,-0.35,3.3512866546977715,3.7349397590361377,2.5944726452340694,2.5481313703284325,,,,,,1,3,Stagflation
2000-10-01,-0.61,-0.17,3.4503271861986873,2.5266704098820814,2.5148561265149194,3.9,2.4,,4.94,,,,,-0.10000000000000009,-0.43,-0.23,-0.18,-0.26,3.45649582836709,3.5992801439711952,2.53093363329584,2.4844720496894457,,,,0.4,,1,4,Reflation
2000-11-01,-0.73,-0.13,3.444180522565321,2.6345291479820565,2.5663277956855968,3.9,,,6.6,,,,,-0.19999999999999973,-0.61,-0.58,-0.17,-0.45,3.4503271861986873,3.3512866546977715,2.5266704098820814,2.5944726452340694,,,2.4,,,1,5,Stagflation
2000-12-01,-0.77,0.01,3.4360189573459543,2.5741466144376224,2.4847793521432404,3.9,,,11.3,,,,,0.0,-0.73,-0.43,-0.13,-0.18,3.444180522565321,3.45649582836709,2.6345291479820565,2.53093363329584,,,,,,1,6,Stagflation
2001-01-01,0.2,0.57,3.7212049616065945,2.5655326268823275,2.7014432367977514,4.2,-1.3,,17.76,,,,,0.30000000000000027,-0.77,-0.61,0.01,-0.17,3.4360189573459543,3.4503271861986873,2.5741466144376224,2.5266704098820814,,,,2.4,,0,0,Stagflation
2001-02-01,0.07,0.51,3.529411764705892,2.7870680044593144,2.537197196376595,4.2,,,22.8,,,,,0.30000000000000027,0.2,-0.73,0.57,-0.13,3.7212049616065945,3.444180522565321,2.5655326268823275,2.6345291479820565,,,-1.3,,,0,0,Stagflation
2001-03-01,0.63,0.75,2.9824561403508643,2.6111111111110974,2.1087000884293827,4.3,,,27.34,,,,,0.3999999999999999,0.07,-0.77,0.51,0.01,3.529411764705892,3.4360189573459543,2.7870680044593144,2.5741466144376224,,,,,,0,0,Stagflation
2001-04-01,1.4,1.05,3.2182562902282053,2.66222961730449,2.373236751810892,4.4,2.5,,31.52,,,,,0.20000000000000018,0.63,0.2,0.75,0.57,2.9824561403508643,3.7212049616065945,2.6111111111110974,2.5655326268823275,,,,-1.3,,0,0,Reflation
2001-05-01,1.8,1.21,3.5630841121495394,2.54565578306587,2.5576491395143286,4.3,,,30.54,,,,,0.09999999999999964,1.4,0.07,1.05,0.51,3.2182562902282053,3.529411764705892,2.66222961730449,2.7870680044593144,,,2.5,,,0,0,Stagflation
2001-06-01,1.77,1.17,3.193960511033689,2.705687465488693,2.3917346855763633,4.5,,,31.26,,,,,0.20000000000000018,1.8,0.63,1.21,0.75,3.5630841121495394,2.9824561403508643,2.54565578306587,2.6111111111110974,,,,,,0,0,Stagflation
2001-07-01,1.53,1.28,2.7214823393167498,2.6997245179063434,2.1017325092305805,4.6,-1.6,,29.84,,,,,0.1999999999999993,1.77,1.4,1.17,1.05,3.193960511033689,3.2182562902282053,2.705687465488693,2.66222961730449,,,,2.5,,0,0,Stagflation
2001-08-01,1.48,1.21,2.7214823393167498,2.638812534359536,2.0964644142072553,4.9,,,27.54,,,,,0.6000000000000005,1.53,1.8,1.28,1.21,2.7214823393167498,3.5630841121495394,2.6997245179063434,2.54565578306587,,,-1.6,,,0,0,Stagflation
2001-09-01,2.2,1.74,2.5921658986175045,2.6330224904004274,1.3130959435436296,5.0,,,26.96,,,,,0.5,1.48,1.77,1.21,1.17,2.7214823393167498,3.193960511033689,2.638812534359536,2.705687465488693,,,,,,0,0,Stagflation
2001-10-01,2.25,1.86,2.127659574468077,2.6286966046002336,1.531881699460702,5.3,1.1,,19.96,,,,,0.7000000000000002,2.2,1.53,1.74,1.28,2.5921658986175045,2.7214823393167498,2.6330224904004274,2.6997245179063434,,,,-1.6,,0,0,Goldilocks
2001-11-01,3.0,1.94,1.894374282433997,2.730748225013646,1.321568153430852,5.5,,,15.32,,,,,0.5999999999999996,2.25,1.48,1.86,1.21,2.127659574468077,2.7214823393167498,2.6286966046002336,2.638812534359536,,,1.1,,,0,0,Deflation
2001-12-01,3.33,2.0,1.603665521191311,2.782324058919805,1.0620750693969505,5.7,,,6.46,,,,,0.7000000000000002,3.0,2.2,1.94,1.74,1.894374282433997,2.5921658986175045,2.730748225013646,2.6330224904004274,,,,,,0,0,Deflation
2002-01-01,3.31,1.91,1.1958997722095743,2.610114192495905,0.6659371163187933,5.7,3.4,,2.8,,,,,0.40000000000000036,3.33,2.25,2.0,1.86,1.603665521191311,2.127659574468077,2.782324058919805,2.6286966046002336,,,,1.1,,0,0,Goldilocks
2002-02-01,3.09,1.82,1.1363636363636465,2.5488069414316694,0.679565078349853,5.7,,,1.88,,,,,0.20000000000000018,3.31,3.0,1.91,1.94,1.1958997722095743,1.894374282433997,2.610114192495905,2.730748225013646,,,3.4,,,0,0,Deflation
2002-03-01,3.63,1.7,1.3628620102214661,2.4363833243096877,0.9433082406235416,5.7,,,1.16,,,,,0.0,3.09,3.33,1.82,2.0,1.1363636363636465,1.603665521191311,2.5488069414316694,2.782324058919805,,,,,,0,0,Deflation
2002-04-01,3.34,1.87,1.643990929705219,2.485143165856285,1.1877053213986466,5.9,2.5,,0.84,,,,,0.20000000000000018,3.63,3.31,1.7,1.91,1.3628620102214661,1.1958997722095743,2.4363833243096877,2.610114192495905,,,,3.4,,0,0,Goldilocks
2002-05-01,3.34,1.86,1.2408347433727984,2.5364274150026844,0.9882602639782245,5.8,,,0.74,,,,,0.09999999999999964,3.34,3.09,1.87,1.82,1.643990929705219,1.1363636363636465,2.485143165856285,2.5488069414316694,,,2.5,,,0,0,Deflation
2002-06-01,3.16,1.96,1.0692177827799743,2.2580645161290214,0.9362006409068035,5.8,,,0.76,,,,,0.09999999999999964,3.34,3.63,1.86,1.7,1.2408347433727984,1.3628620102214661,2.5364274150026844,2.4363833243096877,,,,,,0,0,Deflation
2002-07-01,2.8,2.28,1.465614430665152,2.1995708154506355,1.1921635118487872,5.8,1.6,,1.22,,,,,-0.10000000000000053,3.16,3.34,1.96,1.87,1.0692177827799743,1.643990929705219,2.2580645161290214,2.485143165856285,,,,2.5,,0,0,Goldilocks
2002-08-01,2.45,2.0,1.747463359639223,2.3567220139260936,1.402946319749887,5.7,,,1.06,,,,,-0.09999999999999964,2.8,3.34,2.28,1.86,1.465614430665152,1.2408347433727984,2.1995708154506355,2.5364274150026844,,,1.6,,,0,0,Deflation
2002-09-01,2.06,1.91,1.516002245929271,2.2447888829502993,1.9328166748640685,5.7,,,1.1,,,,,-0.09999999999999964,2.45,3.16,2.0,1.96,1.747463359639223,1.0692177827799743,2.3567220139260936,2.2580645161290214,,,,,,0,0,Deflation
2002-10-01,2.49,2.25,2.0270270270270174,2.187833511205972,1.7604514385630265,5.7,0.5,,1.02,,,,,-0.09999999999999964,2.06,2.8,1.91,2.28,1.516002245929271,1.465614430665152,2.2447888829502993,2.1995708154506355,,,,1.6,,0,0,Goldilocks
2002-11-01,3.0,2.14,2.2535211267605604,2.020202020202033,1.9299850214074654,5.9,,,0.94,,,,,0.20000000000000018,2.49,2.45,2.25,2.0,2.0270270270270174,1.747463359639223,2.187833511205972,2.3567220139260936,,,0.5,,,0,0,Deflation
2002-12-01,2.61,2.22,2.4802705749718212,1.9639065817409707,2.13367302257077,6.0,,,1.44,,,,,0.2999999999999998,3.0,2.06,2.14,1.91,2.2535211267605604,1.516002245929271,2.020202020202033,2.2447888829502993,,,,,,0,0,Deflation
2003-01-01,2.82,2.28,2.757456387169399,1.9607843137255054,2.3465153584070197,5.8,2.1,1.49,0.98,,,,,0.09999999999999964,2.61,2.49,2.22,2.25,2.4802705749718212,2.0270270270270174,1.9639065817409707,2.187833511205972,,,,0.5,1.2674563871693991,0,0,Reflation
2003-02-01,2.51,2.18,3.146067415730336,1.7979904812268632,2.6046216151830226,5.9,,1.75,1.3,,,,,0.0,2.82,3.0,2.28,2.14,2.757456387169399,2.2535211267605604,1.9607843137255054,2.020202020202033,1.49,,2.1,,1.3960674157303359,0,0,Stagflation
2003-03-01,2.69,2.32,3.025210084033625,1.744186046511631,2.589654580732015,5.9,,1.65,1.3,,,,,-0.09999999999999964,2.51,2.61,2.18,2.22,3.146067415730336,2.4802705749718212,1.7979904812268632,1.9639065817409707,1.75,,,,1.375210084033625,0,0,Stagflation
2003-04-01,2.76,2.38,2.175125488008911,1.4760147601476037,1.9886961093585676,6.0,3.6,1.45,1.06,,,,,0.20000000000000018,2.69,2.82,2.32,2.28,3.025210084033625,2.757456387169399,1.744186046511631,1.9607843137255054,1.65,1.49,,2.1,0.7251254880089111,0,0,Goldilocks
2003-05-01,2.26,2.04,1.8941504178273005,1.5263157894736867,1.8048075660055396,6.1,,1.26,0.62,,,,,0.1999999999999993,2.76,2.51,2.38,2.18,2.175125488008911,3.146067415730336,1.4760147601476037,1.7979904812268632,1.45,1.75,3.6,,0.6341504178273005,0,0,Deflation
2003-06-01,2.64,2.22,1.948775055679297,1.4721345951629994,1.788127254837657,6.3,,1.45,0.36,,,,,0.39999999999999947,2.26,2.69,2.04,2.32,1.8941504178273005,3.025210084033625,1.5263157894736867,1.744186046511631,1.26,1.65,,,0.49877505567929714,0,0,Deflation
2003-07-01,3.53,2.69,2.055555555555544,1.522309711286085,1.8627361145654664,6.2,6.8,1.75,0.4,,,,,0.20000000000000018,2.64,2.76,2.22,2.38,1.948775055679297,2.175125488008911,1.4721345951629994,1.4760147601476037,1.45,1.45,,3.6,0.3055555555555438,0,0,Goldilocks
2003-08-01,3.47,2.5,2.216066481994461,1.3082155939298845,2.0067151797029004,6.1,,1.99,0.42,,,,,0.0,3.53,2.26,2.69,2.04,2.055555555555544,1.8941504178273005,1.522309711286085,1.5263157894736867,1.75,1.26,6.8,,0.2260664819944609,0,0,Deflation
2003-09-01,3.01,2.46,2.378318584070782,1.2545739675901668,2.141338793182146,6.1,,1.86,0.34,,,,,-0.20000000000000018,3.47,2.64,2.5,2.22,2.216066481994461,1.948775055679297,1.3082155939298845,1.4721345951629994,1.99,1.45,,,0.518318584070782,0,0,Deflation
2003-10-01,3.37,2.48,2.041942604856528,1.305483028720622,1.9682118170812668,6.0,4.7,2.06,0.32,,,,,-0.20000000000000018,3.01,3.53,2.46,2.69,2.378318584070782,2.055555555555544,1.2545739675901668,1.522309711286085,1.86,1.75,,6.8,-0.018057395143471933,0,0,Goldilocks
2003-11-01,3.41,2.28,1.9283746556473913,1.094319958311618,1.996176703902619,5.8,,2.02,0.34,,,,,-0.2999999999999998,3.37,3.47,2.48,2.5,2.041942604856528,2.216066481994461,1.305483028720622,1.3082155939298845,2.06,1.99,4.7,,-0.09162534435260872,0,0,Deflation
2003-12-01,3.32,2.43,2.0352035203520247,1.0931806350858997,2.122877447350291,5.7,,2.03,0.54,,,,,-0.39999999999999947,3.41,3.01,2.28,2.46,1.9283746556473913,2.378318584070782,1.094319958311618,1.2545739675901668,2.02,1.86,,,0.005203520352024871,0,0,Deflation
2004-01-01,3.24,2.32,2.026286966046009,1.1434511434511352,2.212406575044379,5.7,2.3,2.16,0.38,,,,,-0.2999999999999998,3.32,3.37,2.43,2.48,2.0352035203520247,2.041942604856528,1.0931806350858997,1.305483028720622,2.03,2.06,,4.7,-0.13371303395399092,0,0,Goldilocks
2004-02-01,3.03,2.33,1.688453159041381,1.2467532467532516,2.000619147124838,5.6,,2.38,0.3,,,,,-0.20000000000000018,3.24,3.41,2.32,2.28,2.026286966046009,1.9283746556473913,1.1434511434511352,1.094319958311618,2.16,2.02,2.3,,-0.691546840958619,0,0,Deflation
2004-03-01,2.91,2.26,1.7400761283306032,1.558441558441559,1.8964297201672586,5.8,,2.29,0.3,,,,,0.09999999999999964,3.03,3.32,2.33,2.43,1.688453159041381,2.0352035203520247,1.2467532467532516,1.0931806350858997,2.38,2.03,,,-0.5499238716693968,0,0,Deflation
2004-04-01,3.55,2.22,2.2925764192139875,1.7662337662337713,2.2592244145734686,5.6,3.1,2.34,0.32,,,,,-0.10000000000000053,2.91,3.24,2.26,2.32,1.7400761283306032,2.026286966046009,1.558441558441559,1.1434511434511352,2.29,2.16,,2.3,-0.04742358078601239,0,0,Goldilocks
2004-05-01,3.58,2.12,2.8977583378895444,1.710730948678063,2.709537572254317,5.6,,2.55,0.28,,,,,0.0,3.55,3.03,2.22,2.33,2.2925764192139875,1.688453159041381,1.7662337662337713,1.2467532467532516,2.34,2.38,3.1,,0.3477583378895446,0,0,Stagflation
2004-06-01,3.29,1.92,3.1676679410158393,1.865284974093262,2.890910965613247,5.6,,2.43,1.24,,,,,-0.20000000000000018,3.58,2.91,2.12,2.26,2.8977583378895444,1.7400761283306032,1.710730948678063,1.558441558441559,2.55,2.29,,,0.7376679410158391,0,0,Stagflation
2004-07-01,3.05,1.82,2.939575394665228,1.7580144777662898,2.684537884239746,5.5,3.8,2.41,0.36,,,,,-0.09999999999999964,3.29,3.55,1.92,2.22,3.1676679410158393,2.2925764192139875,1.865284974093262,1.7662337662337713,2.43,2.34,,3.1,0.529575394665228,0,0,Reflation
2004-08-01,2.54,1.72,2.5474254742547275,1.7045454545454586,2.391167919671111,5.4,,2.27,0.32,,,,,-0.1999999999999993,3.05,3.58,1.82,2.12,2.939575394665228,2.8977583378895444,1.7580144777662898,1.710730948678063,2.41,2.55,3.8,,0.2774254742547275,0,0,Stagflation
2004-09-01,2.43,1.51,2.5391680172879516,1.961796592669085,2.2739169847937557,5.4,,2.33,0.24,,,,,-0.1999999999999993,2.54,3.29,1.72,1.92,2.5474254742547275,3.1676679410158393,1.7045454545454586,1.865284974093262,2.27,2.43,,,0.20916801728795154,0,0,Stagflation
2004-10-01,2.14,1.49,3.1909140075716547,2.0103092783505083,2.700011489410592,5.5,4.1,2.49,0.26,,,,,0.0,2.43,3.05,1.51,1.82,2.5391680172879516,2.939575394665228,1.961796592669085,1.7580144777662898,2.33,2.41,,3.8,0.7009140075716545,0,0,Reflation
2004-11-01,2.13,1.34,3.621621621621607,2.216494845360839,2.9656262749897966,5.4,,2.76,0.32,,,,,0.0,2.14,2.54,1.49,1.72,3.1909140075716547,2.5474254742547275,2.0103092783505083,1.7045454545454586,2.49,2.27,4.1,,0.861621621621607,0,0,Stagflation
2004-12-01,2.02,1.16,3.3423180592991875,2.2657054582904346,2.7937154125055708,5.4,,2.64,0.28,,,,,0.0,2.13,2.43,1.34,1.51,3.621621621621607,2.5391680172879516,2.216494845360839,1.961796592669085,2.76,2.33,,,0.7023180592991873,0,0,Stagflation
2005-01-01,1.63,0.85,2.8448738593666034,2.261048304213764,2.53203056685547,5.3,4.5,2.58,0.3,,,,,-0.20000000000000018,2.02,2.14,1.16,1.49,3.3423180592991875,3.1909140075716547,2.2657054582904346,2.0103092783505083,2.64,2.49,,4.1,0.26487385936660335,0,0,Reflation
2005-02-01,1.6,0.77,3.0530262453133394,2.308876346844535,2.598732880610055,5.4,,2.82,0.32,,,,,0.0,1.63,2.13,0.85,1.34,2.8448738593666034,3.621621621621607,2.261048304213764,2.216494845360839,2.58,2.76,4.5,,0.2330262453133396,0,0,Stagflation
2005-03-01,1.71,0.7,3.2068412613575736,2.35294117647058,2.747509438250484,5.2,,2.87,0.36,,,,,-0.20000000000000018,1.6,2.02,0.77,1.16,3.0530262453133394,3.3423180592991875,2.308876346844535,2.2657054582904346,2.82,2.64,,,0.33684126135757353,0,0,Stagflation
2005-04-01,1.31,0.55,3.3617929562433257,2.1949974476773715,2.844503818718014,5.2,2.0,2.73,0.26,,,,,-0.09999999999999964,1.71,1.63,0.7,0.85,3.2068412613575736,2.8448738593666034,2.35294117647058,2.261048304213764,2.87,2.58,,4.5,0.6317929562433258,0,0,Reflation
2005-05-01,1.01,0.4,2.869287991498415,2.1916411824668858,2.5689663835988252,5.1,,2.47,0.34,,,,,-0.3000000000000007,1.31,1.6,0.55,0.77,3.3617929562433257,3.0530262453133394,2.1949974476773715,2.308876346844535,2.73,2.82,2.0,,0.39928799149841465,0,0,Stagflation
2005-06-01,0.81,0.28,2.541026998411855,2.0345879959308144,2.3411957760769653,5.0,,2.31,0.42,,,,,-0.20000000000000018,1.01,1.71,0.4,0.7,2.869287991498415,3.2068412613575736,2.1916411824668858,2.35294117647058,2.47,2.87,,,0.23102699841185492,0,0,Stagflation
2005-07-01,0.86,0.26,3.067160232681121,2.083333333333326,2.679431825292533,5.0,3.2,2.32,1.46,,,,,-0.20000000000000018,0.81,1.31,0.28,0.55,2.541026998411855,3.3617929562433257,2.0345879959308144,2.1949974476773715,2.31,2.73,,2.0,0.7471602326811211,0,0,Reflation
2005-08-01,0.5,0.18,3.6469344608879517,2.1330624682579957,3.0408025417156592,4.9,,2.44,3.2,,,,,-0.1999999999999993,0.86,1.01,0.26,0.4,3.067160232681121,2.869287991498415,2.083333333333326,2.1916411824668858,2.32,2.47,3.2,,1.2069344608879518,0,0,Stagflation
2005-09-01,0.79,0.16,4.741833508956805,1.9240506329113893,3.8300209727354373,5.0,,2.72,12.48,,,,,0.0,0.5,0.81,0.18,0.28,3.6469344608879517,2.541026998411855,2.1330624682579957,2.0345879959308144,2.44,2.31,,,2.021833508956805,0,0,Stagflation
2005-10-01,0.59,0.17,4.350104821802936,2.071753410813537,3.551362370723954,5.0,2.2,2.64,0.5,,,,,0.0,0.79,0.86,0.16,0.26,4.741833508956805,3.067160232681121,1.9240506329113893,2.083333333333326,2.72,2.32,,3.2,1.7101048218029358,0,0,Reflation
2005-11-01,0.54,0.07,3.3385498174230532,2.1180030257186067,2.938408578716656,5.0,,2.35,0.36,,,,,0.09999999999999964,0.59,0.5,0.17,0.18,4.350104821802936,3.6469344608879517,2.071753410813537,2.1330624682579957,2.64,2.44,2.2,,0.9885498174230531,0,0,Stagflation
2005-12-01,0.31,-0.02,3.3385498174230532,2.114803625377659,2.8836276778752667,4.9,,2.3,0.4,,,,,-0.09999999999999964,0.54,0.79,0.07,0.16,3.3385498174230532,4.741833508956805,2.1180030257186067,1.9240506329113893,2.35,2.72,,,1.0385498174230534,0,0,Stagflation
2006-01-01,0.06,-0.01,4.018789144050117,2.1105527638190846,3.246937842213904,4.7,5.5,2.58,0.4,,,,,-0.2999999999999998,0.31,0.59,-0.02,0.17,3.3385498174230532,4.350104821802936,2.114803625377659,2.071753410813537,2.3,2.64,,2.2,1.4387891440501166,0,0,Reflation
2006-02-01,-0.07,-0.14,3.63825363825363,2.106318956870612,3.0222353695212645,4.8,,2.68,0.32,,,,,-0.20000000000000018,0.06,0.54,-0.01,0.07,4.018789144050117,3.3385498174230532,2.1105527638190846,2.1180030257186067,2.58,2.35,5.5,,0.95825363825363,1,1,Stagflation
2006-03-01,0.23,0.04,3.4179181771103018,2.0989505247376306,2.9136712749615823,4.7,,2.58,0.32,,,,,-0.20000000000000018,-0.07,0.31,-0.14,-0.02,3.63825363825363,3.3385498174230532,2.106318956870612,2.114803625377659,2.68,2.3,,,0.8379181771103017,0,0,Stagflation
2006-04-01,0.3,0.2,3.613835828600931,2.29770229770232,3.102827101944805,4.7,1.0,2.67,0.42,,,,,0.0,0.23,0.06,0.04,-0.01,3.4179181771103018,4.018789144050117,2.0989505247376306,2.1105527638190846,2.58,2.58,,5.5,0.943835828600931,0,0,Reflation
